Baseboard;Baseboard Baseboard
Baseboard_0;Baseboard Baseboard
ERoT_FPGA;ERoT_FPGA ERoT_FPGA
ERoT_FPGA_0;ERoT_FPGA ERoT_FPGA
ERoT_GPU0;ERoT_GPU0 ERoT_GPU 0
ERoT_GPU1;ERoT_GPU1 ERoT_GPU 1
ERoT_GPU_0;ERoT_GPU0 ERoT_GPU 0
ERoT_GPU_1;ERoT_GPU1 ERoT_GPU 1
FPGA;FPGA FPGA
FPGA_0;FPGA FPGA
GPU0;GPU0 GPU 0
GPU1;GPU1 GPU 1
GPUDRAM0;GPUDRAM0 GPUDRAM 0
GPUDRAM1;GPUDRAM1 GPUDRAM 1
GPU_0;GPU0 GPU 0
GPU_0_DRAM_0;GPUDRAM0 GPUDRAM 0
GPU_1;GPU1 GPU 1
HSC_0;HSC_0 HSC_ 0
HSC_1;HSC_1 HSC_ 1
InletSensor;InletSensor InletSensor
StandbyHSC_0;StandbyHSC_0 StandbyHSC_ 0
VR;VR
